verticies,x,y,z
v, 1.107990, 4.122700, 1.388063
v, 0.779271, 3.733242, 0.888865
v, 0.735033, 3.738735, 0.905626
v, 0.786797, 3.778217, 0.940003
v, 1.288001, 3.806158, 0.991093
v, 1.274761, 3.813019, 0.958083
v, 1.332193, 3.899716, 0.963562
v, 1.100480, 3.689633, 1.287662
v, 1.116665, 3.646399, 1.300835
v, 1.097273, 3.658597, 1.275412
v, 1.196812, 3.959811, 1.454098
v, 1.159882, 3.929399, 1.399807
v, 1.220149, 3.941226, 1.435231
v, 1.381909, 4.040427, 1.212934
v, 1.398868, 4.040936, 1.183738
v, 1.396416, 4.104253, 1.234528
v, 1.187698, 3.505140, 0.126906
v, 1.121329, 3.421350, 0.114873
v, 1.217036, 3.487628, 0.069003
v, 0.816782, 2.695851, 0.192645
v, 0.825973, 2.734642, 0.194247
v, 0.856520, 2.731708, 0.219313
v, 0.293877, 3.228646, 0.475915
v, 0.305779, 3.209253, 0.408615
v, 0.274154, 3.207028, 0.462650
v, 0.766479, 2.788307, 0.350372
v, 0.711167, 2.749967, 0.368891
v, 0.769207, 2.803550, 0.401404
v, -0.422811, 3.296288, 1.249665
v, -0.443790, 3.307916, 1.201086
v, -0.402510, 3.333331, 1.204656
v, 0.025071, 3.193523, 0.618925
v, 0.048448, 3.209200, 0.592435
v, 0.033769, 3.156788, 0.556821
v, -0.076043, 2.878534, 0.510418
v, -0.116810, 2.833718, 0.491479
v, -0.088214, 2.813781, 0.524401
v, 0.259675, 2.390242, 0.420859
v, 0.235499, 2.329008, 0.399009
v, 0.258896, 2.417026, 0.376149
v, -0.159809, 2.639340, 0.006497
v, -0.137503, 2.565300, 0.013233
v, 0.238054, 1.631369, 0.446900
v, 0.198911, 1.573245, 0.479202
v, 0.224828, 1.554019, 0.468947
v, 0.142428, 1.005748, 0.540717
v, 0.138403, 1.049985, 0.534917
v, 0.081353, 1.031703, 0.550875
v, 0.379844, 3.186756, 0.375962
v, 0.366282, 3.181892, 0.441982
v, 0.371410, 3.118455, 0.385622
v, 0.271425, 2.142654, 0.304857
v, 0.246241, 2.092688, 0.288937
v, 0.300863, 2.140661, 0.259399
v, 0.354914, 1.896169, 0.195969
v, 0.400292, 1.896460, 0.103677
v, 0.409554, 1.941129, 0.096555
v, 0.237412, 2.164003, 0.325635
v, 0.145508, 2.120040, 0.333784
v, 0.183092, 2.067921, 0.303683
v, 0.518036, 2.443676, 0.177669
v, 0.528631, 2.351294, 0.151461
v, 0.489002, 2.394388, 0.168880
v, 0.453372, 1.538596, 0.333460
v, 0.478933, 1.407339, 0.316723
v, 0.505617, 1.563026, 0.244973
v, 0.409531, 1.417028, 0.401033
v, 0.362670, 2.135703, 0.079242
v, 0.355564, 2.055884, 0.078331
v, 0.305757, 2.087675, 0.078732
v, 0.390488, 2.001550, 0.229354
v, 0.308840, 1.974185, 0.297139
v, 0.344463, 1.946492, 0.236995
v, 0.524474, 2.285256, 0.159858
v, 0.492252, 2.293086, 0.216108
v, 0.457298, 2.236434, 0.183038
v, 0.520370, 1.506017, 0.225166
