what,x,y,z
v,-0.090677,-0.242551,-0.42498
v,-0.092963,-0.237046,-0.43034
v,-0.093385,-0.244131,-0.430688
v,-0.060569,-0.224054,-0.41754
v,-0.054632,-0.221567,-0.417582
v,-0.061115,-0.222494,-0.418969
v,-0.092272,-0.136832,-0.424175
v,-0.091631,-0.139707,-0.426556
v,-0.095134,-0.138834,-0.426186
v,-0.122704,-0.20035,-0.444404
v,-0.120764,-0.202956,-0.444734
v,-0.124367,-0.203814,-0.443454
v,-0.080552,-0.17239,-0.431014
v,-0.08274,-0.170237,-0.430874
v,-0.079503,-0.167415,-0.428812
v,-0.052262,-0.162815,-0.423833
v,-0.053675,-0.166363,-0.427533
v,-0.052888,-0.166045,-0.424185
v,-0.112434,-0.242142,-0.418853
v,-0.11331,-0.236664,-0.420759
v,-0.112446,-0.234154,-0.419485
v,-0.096588,-0.135047,-0.419864
v,-0.095853,-0.139379,-0.419574
v,-0.092409,-0.136398,-0.420133
v,-0.133583,-0.17836,-0.426804
v,-0.129173,-0.17628,-0.423258
v,-0.12879,-0.179369,-0.424961
v,-0.109202,-0.107686,-0.424231
v,-0.109607,-0.109638,-0.421328
v,-0.079926,-0.191485,-0.423232
v,-0.083325,-0.189592,-0.42371
v,-0.086059,-0.193154,-0.422852
v,-0.116433,-0.214816,-0.432017
v,-0.115219,-0.219276,-0.424784
v,-0.117533,-0.221135,-0.43439
v,-0.118349,-0.191852,-0.445713
v,-0.116055,-0.190598,-0.44858
v,-0.116718,-0.196512,-0.447039
v,-0.126627,-0.200642,-0.455044
v,-0.128098,-0.198815,-0.457335
v,-0.126928,-0.194699,-0.45694
v,-0.118645,-0.232252,-0.443356
v,-0.116131,-0.229554,-0.441762
v,-0.115347,-0.235322,-0.440675
v,-0.116638,-0.22535,-0.433098
v,-0.116315,-0.223719,-0.44031
v,-0.095121,-0.258961,-0.453557
v,-0.098052,-0.265189,-0.450983
v,-0.099247,-0.264497,-0.449042
v,-0.092033,-0.295881,-0.450721
v,-0.088986,-0.293317,-0.447353
v,-0.089212,-0.297303,-0.45108
v,-0.087862,-0.255887,-0.451672
v,-0.085159,-0.250075,-0.453463
v,-0.090316,-0.252986,-0.451187
v,-0.154364,-0.238845,-0.474621
v,-0.158769,-0.235991,-0.478628
v,-0.157074,-0.234979,-0.475772
v,-0.125671,-0.316535,-0.458705
v,-0.128439,-0.309962,-0.456249
v,-0.119952,-0.317872,-0.461496
v,-0.099082,-0.313996,-0.462258
v,-0.100683,-0.317198,-0.463127
v,-0.101211,-0.310458,-0.462683
v,-0.098466,-0.306747,-0.459808
v,-0.105018,-0.303857,-0.460779
v,-0.096977,-0.338986,-0.462704
v,-0.090287,-0.337161,-0.460936
v,-0.092122,-0.340918,-0.461304
v,-0.095866,-0.331677,-0.462447
v,-0.114582,-0.320984,-0.462708
v,-0.113587,-0.311745,-0.462255
v,-0.128455,-0.287209,-0.44193
v,-0.122411,-0.283463,-0.447214
v,-0.123777,-0.290956,-0.446314
v,-0.103017,-0.292481,-0.452341
v,-0.100359,-0.296214,-0.454029
v,-0.106469,-0.295607,-0.453394
v,-0.116071,-0.280171,-0.450298
v,-0.111421,-0.28055,-0.451174
v,-0.113905,-0.288349,-0.450565
v,-0.114113,-0.275342,-0.430611
v,-0.114962,-0.273069,-0.435949
v,-0.113992,-0.271356,-0.433116
v,-0.120705,-0.274899,-0.447089
v,-0.124744,-0.275768,-0.445703
v,-0.121251,-0.274887,-0.443245
v,-0.105711,-0.276846,-0.444634
v,-0.107429,-0.275263,-0.449715
v,-0.110533,-0.275013,-0.450457
v,-0.126158,-0.265528,-0.447123
v,-0.130673,-0.260644,-0.452163
v,-0.128718,-0.259276,-0.449935
v,-0.083429,-0.248592,-0.461312
v,-0.108416,-0.280099,-0.441665
v,-0.105959,-0.279323,-0.440533
v,-0.09031,-0.215185,-0.42551
v,-0.092381,-0.21082,-0.428458
v,-0.092352,-0.213825,-0.428902
v,-0.10068,-0.270718,-0.447321
v,-0.103992,-0.27439,-0.446507
v,-0.100678,-0.269965,-0.443426
v,-0.106045,-0.292891,-0.423727
v,-0.10475,-0.290808,-0.425608
v,-0.112313,-0.293028,-0.451933
v,-0.110265,-0.284704,-0.426026
v,-0.112324,-0.281989,-0.430247
v,-0.110668,-0.281429,-0.424159
v,-0.063732,-0.22936,-0.415753
v,-0.060654,-0.22787,-0.415824
v,-0.065981,-0.230841,-0.41755
v,-0.075224,-0.293109,-0.419521
v,-0.069349,-0.298652,-0.416497
v,-0.070293,-0.297848,-0.424965
v,-0.096488,-0.276828,-0.429155
v,-0.095736,-0.275105,-0.428212
v,-0.096809,-0.272257,-0.432077
v,-0.100255,-0.295156,-0.391148
v,-0.095273,-0.292548,-0.394373
v,-0.099641,-0.290755,-0.393832
v,-0.105501,-0.28989,-0.428575
v,-0.105406,-0.292814,-0.428152
v,-0.102946,-0.286665,-0.41943
v,-0.103933,-0.288943,-0.423314
v,-0.104575,-0.288902,-0.419158
v,-0.079015,-0.196731,-0.423749
v,-0.077414,-0.192349,-0.425755
v,-0.072681,-0.298653,-0.408459
v,-0.069559,-0.301167,-0.409729
v,-0.107915,-0.29858,-0.457298
v,-0.082501,-0.293478,-0.441777
v,-0.08368,-0.297495,-0.448438
v,0.036697,-0.25588,-0.503388
v,0.033668,-0.254773,-0.501533
v,0.0358,-0.257959,-0.500431
v,-0.093196,-0.22426,-0.432748
v,-0.091839,-0.228295,-0.428962
v,-0.091865,-0.224253,-0.429227
v,-0.074473,-0.214645,-0.471495
v,-0.074121,-0.214392,-0.475115
v,-0.072019,-0.211909,-0.473354
v,-0.077825,-0.259073,-0.428173
v,-0.075765,-0.261744,-0.424012
v,-0.077309,-0.261838,-0.427157
v,-0.083975,-0.219058,-0.470882
v,-0.081689,-0.215552,-0.471249
v,-0.081381,-0.216477,-0.476904
v,-0.003886,-0.105335,-0.447785
v,-0.000505,-0.10621,-0.444946
v,-0.000458,-0.108826,-0.448995
v,0.005301,-0.125856,-0.453213
v,0.005078,-0.122272,-0.453687
v,0.006789,-0.121451,-0.452453
v,0.009512,-0.127358,-0.454391
v,0.005904,-0.12992,-0.454893
v,0.010051,-0.130919,-0.455341
v,0.003508,-0.12398,-0.453352
v,-0.03175,-0.137929,-0.42651
v,-0.028916,-0.136078,-0.424977
v,-0.023778,-0.13828,-0.426123
v,0.036688,-0.115426,-0.427528
v,0.037342,-0.1152,-0.430493
v,0.036394,-0.112752,-0.425291
v,-0.0078,-0.173076,-0.411429
v,-0.011043,-0.172454,-0.410959
v,-0.010198,-0.171706,-0.408076
v,-0.00118,-0.148603,-0.446555
v,-0.000574,-0.151385,-0.445389
v,-0.003093,-0.151512,-0.445202
v,-0.082053,-0.147554,-0.422623
v,-0.081881,-0.150695,-0.422518
v,-0.082942,-0.14844,-0.42627
v,-0.035435,-0.154432,-0.429818
v,-0.037939,-0.154807,-0.431785
v,-0.036435,-0.152961,-0.429899
v,-0.04795,-0.170593,-0.424688
v,-0.050292,-0.171331,-0.423719
v,-0.050097,-0.175389,-0.425852
v,-0.034163,-0.190784,-0.423147
v,-0.031098,-0.188719,-0.420709
v,-0.033895,-0.190858,-0.420977
v,-0.052425,-0.163412,-0.42838
v,-0.049977,-0.162284,-0.429808
v,-0.051948,-0.165691,-0.430747
v,-0.031364,-0.141653,-0.432028
v,-0.034366,-0.140443,-0.428276
v,0.004108,-0.151908,-0.431485
v,0.007908,-0.149052,-0.428112
v,0.003608,-0.148988,-0.426924
v,0.001525,-0.153034,-0.428728
v,-0.001387,-0.150184,-0.426445
v,-0.003059,-0.153495,-0.426331
v,0.021452,-0.105215,-0.428532
v,0.017908,-0.10532,-0.42986
v,0.019519,-0.108552,-0.42666
v,-0.016058,-0.126662,-0.421182
v,-0.013826,-0.124083,-0.417915
v,-0.012809,-0.125066,-0.422129
v,0.02559,-0.108008,-0.414265
v,0.022888,-0.106261,-0.415903
v,0.019908,-0.104929,-0.412411
v,-0.030167,-0.150829,-0.363019
v,-0.030362,-0.146334,-0.35653
v,-0.029317,-0.15386,-0.358283
v,-0.028065,-0.154288,-0.363379
v,-0.029477,-0.154404,-0.364492
v,0.017812,-0.137794,-0.413691
v,0.018628,-0.141892,-0.419105
v,0.021696,-0.138269,-0.415909
v,0.015232,-0.137419,-0.413242
v,0.016456,-0.134518,-0.413337
v,-0.057183,-0.12443,-0.313789
v,-0.058427,-0.126928,-0.316766
v,-0.062706,-0.122101,-0.315351
v,-0.042428,-0.155793,-0.428174
v,-0.043675,-0.157678,-0.429864
v,-0.039796,-0.156656,-0.429431
v,-0.055839,-0.108603,-0.404005
v,-0.051009,-0.106623,-0.404338
v,-0.053498,-0.109303,-0.402435
v,-0.105579,-0.127596,-0.404315
v,-0.1077,-0.126708,-0.409435
v,-0.10509,-0.121947,-0.403864
v,-0.070589,-0.14012,-0.394454
v,-0.076949,-0.138893,-0.395742
v,-0.071311,-0.144119,-0.394442
v,-0.097813,-0.134125,-0.423949
v,-0.129959,-0.161307,-0.409568
v,-0.128994,-0.162396,-0.405582
v,-0.128121,-0.163633,-0.409842
v,-0.110292,-0.195613,-0.411955
v,-0.108159,-0.194776,-0.407037
v,-0.107695,-0.197266,-0.408236
v,-0.119855,-0.158579,-0.414032
v,-0.119972,-0.16081,-0.41207
v,-0.121966,-0.159875,-0.409492
v,-0.125785,-0.148439,-0.402467
v,-0.124218,-0.148674,-0.40346
v,-0.125016,-0.152085,-0.401033
v,-0.122986,-0.10467,-0.399268
v,-0.121553,-0.10422,-0.400474
v,-0.122524,-0.10306,-0.403538
v,-0.118407,-0.135905,-0.396059
v,-0.113836,-0.133955,-0.395319
v,-0.121153,-0.124875,-0.395479
v,-0.103227,-0.130489,-0.319031
v,-0.104917,-0.127681,-0.315509
v,-0.105976,-0.128627,-0.318317
v,-0.09351,-0.124722,-0.320573
v,-0.090601,-0.125728,-0.317181
v,-0.092371,-0.128271,-0.323674
v,-0.124644,-0.136538,-0.394329
v,-0.127561,-0.133441,-0.392995
v,-0.126891,-0.136289,-0.392321
v,-0.10147,-0.12575,-0.328718
v,-0.09948,-0.12518,-0.327259
v,-0.099765,-0.125498,-0.330244
v,-0.113477,-0.159145,-0.361094
v,-0.118148,-0.164068,-0.364974
v,-0.119194,-0.162042,-0.362006
v,-0.097522,-0.147533,-0.350596
v,-0.097185,-0.151567,-0.34995
v,-0.098825,-0.149664,-0.355445
v,-0.111106,-0.154805,-0.358524
v,-0.11174,-0.152074,-0.35606
v,-0.10721,-0.152751,-0.358996
v,-0.085067,-0.151951,-0.33194
v,-0.083593,-0.14797,-0.329817
v,-0.082473,-0.150086,-0.32825
v,-0.096937,-0.167995,-0.353277
v,-0.097927,-0.170397,-0.354441
v,-0.097279,-0.169563,-0.35583
v,-0.102566,-0.154508,-0.361919
v,-0.105047,-0.153636,-0.360146
v,-0.102221,-0.150937,-0.358531
v,-0.063357,-0.124537,-0.399674
v,-0.060632,-0.121404,-0.399526
v,-0.063677,-0.123831,-0.397638
v,-0.083696,-0.154015,-0.30618
v,-0.086462,-0.152891,-0.307853
v,-0.084395,-0.152967,-0.309148
v,-0.062647,-0.117028,-0.326203
v,-0.05882,-0.116296,-0.326855
v,-0.060997,-0.115044,-0.328947
v,-0.067753,-0.114931,-0.305828
v,-0.064419,-0.115332,-0.306004
v,-0.063409,-0.118765,-0.309593
v,-0.161691,-0.08318,-0.374159
v,-0.158574,-0.08385,-0.372964
v,-0.157486,-0.082108,-0.376214
v,-0.091331,-0.109151,-0.312186
v,-0.090066,-0.110556,-0.310144
v,-0.087265,-0.110831,-0.312404
v,-0.084107,-0.123719,-0.290636
v,-0.085796,-0.122091,-0.291831
v,-0.088163,-0.124794,-0.29193
v,-0.09014,-0.15206,-0.33546
v,-0.093485,-0.151604,-0.336075
v,-0.091542,-0.14886,-0.331972
v,-0.062564,-0.147662,-0.310049
v,-0.062137,-0.147129,-0.312568
v,-0.058714,-0.140977,-0.309972
v,-0.085328,-0.155923,-0.298948
v,-0.08487,-0.15907,-0.297587
v,-0.0851,-0.158147,-0.299862
v,-0.085337,-0.136703,-0.284751
v,-0.085612,-0.138806,-0.289514
v,-0.083214,-0.138068,-0.285064
v,-0.064833,-0.131055,-0.292577
v,-0.062696,-0.131029,-0.29374
v,-0.06468,-0.126492,-0.290623
